,Shortest time,Shortest time,Shortest time,Shortest time,Shortest time,Shortest time,Solving time in ms,Solving time in ms,Solving time in ms,Solving time in ms
,seed,NearestNeighbour,StraightPathSolver,Dijkstra,AntColony,AntColony-Error,NearestNeighbour,StraightPathSolver,Dijkstra,AntColony
0,844,31,23,23.0,23,0,0.0,0.97,0.0,15.96
1,757,33,28,28.0,28,2,0.0,0.0,0.0,15.95
2,420,25,25,25.0,25,2,0.0,0.0,0.0,14.98
3,258,33,24,24.0,24,4,0.0,1.0,0.0,18.95
4,511,22,20,20.0,20,2,0.0,0.0,1.0,16.0
5,404,26,22,22.0,22,4,0.0,0.0,1.0,15.0
6,783,23,20,20.0,20,2,0.0,0.0,0.0,15.01
7,303,22,22,22.0,22,1,0.0,0.0,0.0,14.93
8,476,11,11,11.0,11,4,0.0,0.0,1.0,14.01
9,583,33,22,22.0,22,6,0.0,1.0,0.0,13.96
10,908,37,21,21.0,21,7,0.0,0.0,0.0,16.96
11,504,29,23,23.0,23,6,0.0,1.01,0.0,15.95
12,281,25,21,21.0,21,4,0.0,0.0,1.03,14.02
13,755,16,16,16.0,16,0,0.0,1.03,0.0,13.96
14,618,29,19,19.0,19,2,0.0,0.0,0.98,15.04
15,250,10,10,10.0,10,7,0.0,0.0,1.0,14.96
16,909,34,14,14.0,14,6,0.0,1.0,0.0,17.95
17,982,43,24,24.0,24,0,0.0,0.99,0.0,13.96
18,810,19,8,8.0,8,0,0.0,1.0,0.0,13.96
19,902,20,20,20.0,20,5,0.0,1.0,0.0,18.95
20,310,35,22,22.0,22,3,0.0,0.0,0.0,14.96
21,729,26,26,26.0,26,3,0.0,1.0,0.0,9.93
22,898,24,24,24.0,24,6,1.0,0.0,0.0,9.02
23,683,57,35,35.0,35,1,0.0,0.0,1.0,8.93
24,472,26,22,22.0,22,4,0.0,0.0,1.0,8.98
